material,formula,n_atoms,energy_eV,energy_per_atom_eV,K_GPa,G_GPa,E_GPa,poisson_ratio,KG_ratio,ductile_brittle,time_seconds
mp-10251,Li4 Dy4 O8,16,-112.6144,-7.0384,130.96,61.06,158.53,0.2982,2.14,Ductile,27.76
mp-10499,Li4 Zr8 P12 O48,72,-572.481,-7.9511,187.38,95.94,245.86,0.2813,1.95,Ductile,11.21
mp-10517,Li2 Sc2 P4 O14,22,-165.4994,-7.5227,142.0,87.19,217.12,0.2452,1.63,Brittle,1.67
mp-10620,Li4 Pr4 O8,16,-110.197,-6.8873,127.03,58.25,151.58,0.3011,2.18,Ductile,2.29
mp-10814,Sr4 Li4 B4 O12,24,-164.009,-6.8337,114.18,63.23,160.13,0.2662,1.81,Ductile,2.6
mp-10970,Li4 Er4 O8,16,-113.091,-7.0682,137.13,68.67,176.53,0.2854,2.0,Ductile,1.12
mp-10971,Li2 Er2 O4,8,-56.5583,-7.0698,140.6,74.85,190.71,0.2739,1.88,Ductile,1.22
mp-11189,Li8 Mg4 Si4 O16,32,-205.7278,-6.429,120.0,79.26,194.87,0.2293,1.51,Brittle,1.33
mp-1125,Li8 S4,12,-46.9745,-3.9145,36.99,16.75,43.67,0.3033,2.21,Ductile,1.05
mp-1153,Li2 S1,3,-11.8563,-3.9521,35.27,17.56,45.18,0.2865,2.01,Ductile,0.95
mp-11737,Li8 Si2 O8,18,-108.0117,-6.0007,134.75,83.7,208.02,0.2427,1.61,Brittle,2.19
mp-12645,Li4 Ho4 O8,16,-112.7963,-7.0498,138.12,62.57,163.09,0.3032,2.21,Ductile,1.07
mp-13182,Li4 Ti2 Ge2 O10,18,-124.0464,-6.8915,123.64,63.65,162.99,0.2803,1.94,Ductile,1.36
mp-13725,Li6 P2 O8,16,-100.1005,-6.2563,136.94,89.6,220.66,0.2314,1.53,Brittle,2.07
mp-13772,Li12 Pr8 B12 O36,68,-504.2212,-7.415,131.7,71.99,182.68,0.2688,1.83,Ductile,1.71
mp-13944,Li24 Al8 N16,48,-249.4502,-5.1969,113.02,77.87,189.98,0.2199,1.45,Brittle,1.85
mp-14030,Na8 Li4 Y4 Si24 O60,100,-747.8583,-7.4786,165.04,95.62,240.44,0.2572,1.73,Brittle,2.77
mp-14363,Rb4 Li2 As2 O8,16,-84.7837,-5.299,67.12,37.92,95.72,0.2623,1.77,Ductile,1.11
mp-14364,Cs4 Li2 As2 O8,16,-84.3648,-5.2728,58.27,32.9,83.06,0.2624,1.77,Ductile,1.49
mp-14399,Li12 Al12 Si12 O48,84,-606.4736,-7.2199,141.42,76.34,194.1,0.2712,1.85,Ductile,1.65
mp-14458,Na12 Li12 Cr8 F48,80,-418.3725,-5.2297,68.15,32.45,84.03,0.2945,2.1,Ductile,1.1
mp-14488,Li12 In8 P12 O48,80,-520.1032,-6.5013,167.9,93.22,235.99,0.2658,1.8,Ductile,3.44
mp-14495,Li12 Zn2 O8,22,-103.8212,-4.7191,107.77,59.45,150.65,0.267,1.81,Ductile,1.37
mp-14646,Li8 Mg8 S12 O48,76,-462.7164,-6.0884,145.79,100.93,246.02,0.2188,1.44,Brittle,2.86
mp-14753,Li56 Ta8 N32,96,-545.1482,-5.6786,126.9,66.32,169.45,0.2774,1.91,Ductile,2.4
mp-14827,Li56 Nb8 N32,96,-525.0132,-5.4689,117.45,60.3,154.47,0.2808,1.95,Ductile,1.89
mp-14854,Sr8 Li4 In4 B16 O40,72,-518.106,-7.1959,112.24,64.59,162.57,0.2586,1.74,Brittle,2.31
mp-14871,Li16 Ta2 N8 O1,27,-150.6822,-5.5808,96.79,56.31,141.5,0.2563,1.72,Brittle,1.39
mp-15066,Li4 Tm4 Si4 O16,28,-211.5928,-7.5569,149.12,82.77,209.54,0.2658,1.8,Ductile,1.17
mp-15349,Li4 Ge2 O6,12,-70.1076,-5.8423,128.22,72.37,182.72,0.2625,1.77,Ductile,1.97
mp-15362,Li12 Nd8 B12 O36,68,-504.767,-7.423,132.42,72.12,183.12,0.2695,1.84,Ductile,1.61
mp-15543,Na4 Li4 Zr4 Si24 O60,96,-743.6476,-7.7463,151.64,92.99,231.62,0.2454,1.63,Brittle,1.6
mp-15960,Li40 Al8 O32,80,-442.5908,-5.5324,110.51,70.85,175.12,0.2359,1.56,Brittle,2.09
mp-16055,K2 Li6 Zr4 Si24 O60,96,-745.9906,-7.7707,148.52,91.0,226.7,0.2456,1.63,Brittle,1.45
mp-16282,K2 Na4 Li6 Cr4 Si24 O60,100,-736.7711,-7.3677,149.3,90.52,225.91,0.2478,1.65,Brittle,1.98
mp-16283,K2 Na4 Li6 Fe4 Si24 O60,100,-725.1944,-7.2519,142.18,89.11,221.13,0.2408,1.6,Brittle,1.55
mp-16792,Ba8 Li2 Ta6 O24,40,-326.7779,-8.1694,151.26,74.38,191.72,0.2887,2.03,Ductile,1.42
mp-16804,Li6 Ca6 P6 O24,42,-288.4619,-6.8681,133.27,79.67,199.3,0.2507,1.67,Brittle,1.58
mp-16828,Li6 B14 O24,44,-330.4568,-7.5104,163.23,96.01,240.81,0.2541,1.7,Brittle,3.24
mp-16872,Rb2 Li4 Ga4 B6 O18,34,-226.9005,-6.6735,97.21,59.94,149.17,0.2442,1.62,Brittle,1.56
mp-16947,Li6 Al6 Ge6 O24,42,-276.8876,-6.5926,127.48,77.53,193.38,0.2472,1.64,Brittle,1.2
mp-16955,K8 Li12 Fe4 O16,40,-199.2436,-4.9811,63.45,31.18,80.37,0.2889,2.04,Ductile,1.43
mp-16996,Li12 Ga4 Si4 O20,40,-249.1616,-6.229,126.62,78.33,194.83,0.2436,1.62,Brittle,1.47
mp-17056,Li6 Zn6 P6 O24,42,-260.3838,-6.1996,127.93,81.6,201.87,0.237,1.57,Brittle,1.47
mp-17125,Cs1 Na3 Li12 Ge4 O16,36,-194.5944,-5.4054,90.75,54.99,137.26,0.2479,1.65,Brittle,1.05
mp-17208,K2 Li14 Zr3 O14,33,-198.8985,-6.0272,99.77,53.93,137.09,0.271,1.85,Ductile,1.73
mp-17240,Rb1 Na3 Li12 Si4 O16,36,-211.8511,-5.8848,106.01,69.98,172.07,0.2295,1.51,Brittle,1.72
mp-17288,Li8 Zn4 Si4 O16,32,-194.4509,-6.0766,124.71,77.27,192.12,0.2433,1.61,Brittle,1.6
mp-17510,Li2 Ga2 W4 O16,24,-165.2793,-6.8866,194.06,61.12,165.93,0.3575,3.18,Ductile,1.71
mp-17664,Li2 Ni4 P6 O20,32,-209.2533,-6.5392,156.53,85.16,216.26,0.2697,1.84,Ductile,1.68
mp-17685,Li12 Ga4 Ge4 O20,40,-232.6069,-5.8152,110.45,65.45,163.96,0.2526,1.69,Brittle,1.2
mp-17718,Cs1 K1 Na2 Li12 Si4 O16,36,-211.3004,-5.8695,102.37,66.79,164.59,0.232,1.53,Brittle,1.65
mp-17774,K8 Li12 Ga4 O16,40,-194.364,-4.8591,70.91,40.51,102.09,0.26,1.75,Ductile,1.5
mp-18002,K4 Li12 Ge4 O16,36,-194.1432,-5.3929,105.04,60.56,152.39,0.2582,1.73,Brittle,2.66
mp-18048,Li6 Zn6 As6 O24,42,-232.9092,-5.5455,104.09,59.48,149.89,0.26,1.75,Ductile,1.81
mp-18050,Li12 Mo6 O24,42,-266.2576,-6.3395,115.02,40.2,108.02,0.3435,2.86,Ductile,1.65
mp-18147,Li6 Ga6 Si6 O24,42,-281.3546,-6.6989,133.04,83.21,206.56,0.2412,1.6,Brittle,1.3
mp-18220,Li6 Al6 Si6 O24,42,-303.1342,-7.2175,176.78,107.31,267.75,0.2476,1.65,Brittle,2.53
mp-18711,Li2 Nd2 P8 O24,36,-263.8746,-7.3298,150.04,90.21,225.45,0.2496,1.66,Brittle,1.78
mp-18727,Li4 Cr4 Si8 O24,40,-299.5288,-7.4882,161.27,89.52,226.62,0.2658,1.8,Ductile,1.52
mp-18793,Li1 Cr1 O2,4,-27.5001,-6.875,197.46,87.41,228.51,0.3071,2.26,Ductile,1.85
mp-18902,Li12 W6 O24,42,-273.7836,-6.5187,105.28,40.06,106.65,0.3312,2.63,Ductile,1.15
mp-18932,Li2 Pr2 W4 O16,24,-178.7039,-7.446,155.63,52.95,142.67,0.3472,2.94,Ductile,2.09
mp-18933,Li16 W8 O32,56,-364.9726,-6.5174,171.45,60.86,163.26,0.3413,2.82,Ductile,3.95
mp-18951,Li4 Fe4 P4 O16,28,-190.4785,-6.8028,142.05,72.3,185.44,0.2824,1.96,Ductile,1.5
mp-18997,Li4 Mn4 P4 O16,28,-200.5994,-7.1643,133.73,71.3,181.61,0.2737,1.88,Ductile,1.13
mp-19017,Li4 Fe4 P4 O16,28,-190.5164,-6.8042,166.39,82.87,213.2,0.2864,2.01,Ductile,3.47
mp-19123,Rb4 Li2 V2 O8,16,-94.2958,-5.8935,80.35,28.84,77.28,0.3397,2.79,Ductile,2.22
mp-19209,Li2 Al2 Mo4 O16,24,-166.3752,-6.9323,164.43,53.67,145.22,0.3528,3.06,Ductile,2.02
mp-19219,Li6 V2 O8,16,-99.8069,-6.2379,125.24,47.98,127.64,0.3301,2.61,Ductile,1.7
mp-19260,Li4 W2 O8,14,-91.3125,-6.5223,171.21,57.06,154.06,0.35,3.0,Ductile,2.84
mp-19373,Li4 V4 O12,20,-136.0452,-6.8023,148.54,48.1,130.23,0.3539,3.09,Ductile,3.02
mp-19492,Li4 Mn4 P12 O36,56,-402.566,-7.1887,143.55,89.49,222.27,0.2419,1.6,Brittle,1.9
mp-19511,Li40 Fe8 O32,80,-423.1723,-5.2897,100.43,49.38,127.28,0.2888,2.03,Ductile,2.1
mp-1960,Li2 O1,3,-14.2252,-4.7417,65.78,50.71,121.02,0.1934,1.3,Brittle,0.88
mp-21332,Li4 Gd4 O8,16,-149.2877,-9.3305,110.16,55.42,142.38,0.2846,1.99,Ductile,1.36
mp-21650,Li8 Ni4 Ge12 O32,56,-336.9233,-6.0165,184.97,84.24,219.4,0.3023,2.2,Ductile,1.96
mp-22417,Li4 Ni4 P4 O16,28,-175.1603,-6.2557,139.3,81.9,205.44,0.2542,1.7,Brittle,1.25
mp-22899,Li1 I1,2,-5.8268,-2.9134,35.33,7.85,21.92,0.3966,4.5,Ductile,0.95
mp-22955,Li2 I2 O6,10,-46.0009,-4.6001,111.83,55.2,142.21,0.2881,2.03,Ductile,2.65
mp-22961,Li4 Zn2 Cl8,14,-46.1365,-3.2955,46.11,14.51,39.39,0.3576,3.18,Ductile,1.25
mp-22983,Li4 Al4 Cl16,24,-91.7481,-3.8228,43.04,16.39,43.64,0.331,2.63,Ductile,2.32
mp-22994,Li4 I4 O12,20,-92.2633,-4.6132,100.4,51.27,131.44,0.2818,1.96,Ductile,3.42
mp-23057,Cs2 Li2 Br4,8,-25.5463,-3.1933,18.01,4.72,13.03,0.3794,3.81,Ductile,1.01
mp-23259,Li1 Br1,2,-6.6317,-3.3159,35.02,12.86,34.37,0.3364,2.72,Ductile,1.06
mp-23364,Cs2 Li2 Cl4,8,-28.0664,-3.5083,22.18,8.28,22.09,0.334,2.68,Ductile,1.5
mp-23384,Li8 I8 O24,40,-184.5502,-4.6138,98.02,47.19,122.0,0.2926,2.08,Ductile,3.1
mp-23416,Li8 Zn4 Cl16,28,-92.5369,-3.3049,44.87,14.89,40.21,0.3506,3.01,Ductile,1.47
mp-23497,Li8 Zn4 I16,28,-70.9032,-2.5323,22.43,5.82,16.07,0.3806,3.85,Ductile,1.48
mp-23626,Rb4 Li8 I12 O36,60,-273.8865,-4.5648,73.95,38.14,97.63,0.28,1.94,Ductile,1.36
mp-23648,Li8 Al6 Si6 Cl2 O24,46,-318.2031,-6.9175,116.84,68.77,172.48,0.254,1.7,Brittle,1.1
mp-25393,Li8 Fe4 P4 O16 F4,36,-228.7554,-6.3543,124.99,60.61,156.52,0.2913,2.06,Ductile,1.69
mp-25395,Li4 Mn2 P2 O8 F2,18,-119.1682,-6.6205,122.74,61.15,157.32,0.2864,2.01,Ductile,2.41
mp-25397,Li8 Ni4 P4 O16 F4,36,-213.0441,-5.9179,124.96,66.48,169.4,0.2741,1.88,Ductile,1.74
mp-25403,Li8 V4 P4 O16 F4,36,-238.3443,-6.6207,122.15,60.06,154.8,0.2888,2.03,Ductile,2.47
mp-25422,Li4 V4 P4 O16,28,-200.3529,-7.1555,140.91,69.24,178.48,0.2889,2.04,Ductile,2.07
mp-25445,Li12 Fe4 P4 C4 O28,52,-346.7603,-6.6685,127.75,63.5,163.42,0.2868,2.01,Ductile,2.03
mp-25446,Li12 Ni4 P4 C4 O28,52,-331.2429,-6.3701,125.26,66.71,169.96,0.2739,1.88,Ductile,1.3
mp-25455,Li8 Cr4 P4 C4 O28,48,-338.6122,-7.0544,127.42,61.02,157.87,0.2935,2.09,Ductile,2.42
mp-25459,Li12 Cr4 P4 C4 O28,52,-355.1097,-6.829,117.65,58.35,150.23,0.2872,2.02,Ductile,2.16
mp-25461,Li6 Mn2 P2 C2 O14,26,-178.0893,-6.8496,118.5,60.38,154.84,0.2822,1.96,Ductile,1.98
mp-25463,Li12 V4 P4 C4 O28,52,-356.7154,-6.8599,113.72,56.69,145.83,0.2863,2.01,Ductile,1.75
mp-25823,Li2 Ni4 P10 O30,46,-308.017,-6.696,133.73,86.27,213.02,0.2345,1.55,Brittle,2.06
mp-25827,Li2 Mo4 P6 O22,34,-244.859,-7.2017,156.46,70.11,182.99,0.3051,2.23,Ductile,3.11
mp-25831,Li2 Mn2 P2 O8,14,-99.7912,-7.1279,120.72,58.86,151.9,0.2903,2.05,Ductile,2.38
mp-25845,Li8 Fe4 P8 O28,48,-324.4561,-6.7595,122.76,68.95,174.22,0.2635,1.78,Ductile,1.69
mp-25857,Li8 Mn10 P12 O44,74,-534.0998,-7.2176,118.75,66.83,168.83,0.263,1.78,Ductile,2.26
mp-25879,Li4 Ni12 P12 O44,72,-457.6843,-6.3567,142.93,80.64,203.63,0.2626,1.77,Ductile,1.13
mp-25881,Li4 Bi4 P16 O48,72,-495.5918,-6.8832,131.06,79.38,198.14,0.248,1.65,Brittle,2.02
mp-25887,Li4 Mn2 P8 O24,38,-267.1131,-7.0293,154.86,83.11,211.49,0.2724,1.86,Ductile,0.66
mp-25889,Li12 Co12 P12 O48,84,-553.8476,-6.5934,113.55,60.23,153.55,0.2746,1.89,Ductile,1.11
mp-25923,Li6 Mn9 P8 O32,55,-399.3302,-7.2605,133.5,67.46,173.21,0.2838,1.98,Ductile,1.92
mp-25927,Li4 Ni4 P12 O36,56,-375.4303,-6.7041,122.16,79.44,195.87,0.2328,1.54,Brittle,0.9
mp-25929,Li6 Bi4 P6 O24,40,-262.0648,-6.5516,109.61,60.37,153.01,0.2673,1.82,Ductile,0.72
mp-25959,Li2 Bi2 P8 O24,36,-247.6128,-6.8781,119.55,76.76,189.67,0.2356,1.56,Brittle,1.63
mp-25967,Li6 Ni6 P6 O24,42,-261.097,-6.2166,145.73,74.58,191.14,0.2814,1.95,Ductile,0.95
mp-25971,Li2 Mn2 P2 O8,14,-99.8163,-7.1297,135.87,67.27,173.21,0.2875,2.02,Ductile,1.02
mp-25985,Li4 Cr4 P16 O48,72,-517.0392,-7.1811,130.15,83.3,205.96,0.2363,1.56,Brittle,1.43
mp-25987,Li4 Mo4 P16 O48,72,-514.017,-7.1391,121.06,72.37,181.03,0.2508,1.67,Brittle,1.68
mp-25991,Li4 Ni6 P8 O28,46,-296.8576,-6.4534,147.23,82.8,209.18,0.2632,1.78,Ductile,0.57
mp-25995,Li16 Co4 P8 O32,60,-385.8748,-6.4312,112.92,65.94,165.58,0.2556,1.71,Brittle,0.69
mp-26001,Li4 Ni4 P12 O36,56,-376.654,-6.726,157.21,99.69,246.9,0.2383,1.58,Brittle,1.98
